State,County Name,current_votes,total_votes,percent
ME,Orient,87,90,100
ME,Penobscot Nation Vot Dst,304,304,100
ME,Perham,213,214,100
ME,Portage Lake,268,268,100
ME,Presque Isle,4224,4239,100
ME,Reed Plt.,80,81,100
ME,Saint Agatha,638,638,100
ME,St. Francis,245,245,100
ME,St. John Plt.,166,171,100
ME,Sherman,661,676,95
ME,Smyrna,154,157,100
ME,Stockholm,162,162,100
ME,Van Buren,890,898,100
ME,Wade,145,145,100
ME,Wallagrass,292,292,100
ME,Washburn,818,820,100
ME,Westfield,268,268,100
ME,Westmanland,55,55,100
ME,Weston,181,182,100
ME,Winterville Plt.,125,125,100
ME,Woodland,664,664,100
ME,Baldwin,999,971,95
ME,Bridgton,3258,3268,100
ME,Brunswick,13905,13905,100
ME,Cape Elizabeth,6970,6970,100
ME,Casco,2281,2296,100
ME,Chebeague Island,330,330,100
ME,Cumberland,6045,6045,100
ME,Falmouth,9057,9057,100
ME,Freeport,6192,6192,100
ME,Frye Island,57,57,100
ME,Gorham,11146,11146,100
ME,Gray,5388,5390,100
ME,Harpswell,3899,3899,100
ME,Harrison,1577,1552,95
ME,Long Island,189,191,100
ME,Naples,2495,2495,100
ME,New Gloucester,3607,3607,100
ME,North Yarmouth,2981,2981,100
ME,Portland,41569,41569,100
ME,Pownal,1210,1210,100
ME,Raymond,3140,3142,100
ME,Scarborough,15071,15071,100
ME,Sebago,1277,1277,100
ME,South Portland,16266,16286,100
ME,Standish,6075,6075,100
ME,Westbrook,11170,11187,100
ME,Windham,11446,11446,100
